quotes_USD_price,circulating_supply,id,quotes_USD_percent_change_7d,symbol,website_slug,max_supply,quotes_USD_volume_24h,quotes_USD_percent_change_1h,name,last_updated,total_supply,rank,quotes_USD_percent_change_24h,quotes_USD_market_cap
6391.42,17150787,1,-6.05,BTC,bitcoin,21000000,3255150000,0.2,Bitcoin,1531688666,17150787,1,1.61,1.09618E+11
79.3189,57419333,2,-5.59,LTC,litecoin,84000000,221846000,0.73,Litecoin,1531688652,57419333,6,2.99,4554438362
1.51999,14736400,3,6.87,NMC,namecoin,,141349,-2.84,Namecoin,1531688711,14736400,260,7.57,22399181
0.0945918,22935396,4,-12.05,TRC,terracoin,42000000,3120.62,0.11,Terracoin,1531688711,22935396,720,3.3,2169500
1.56679,24853345,5,5.29,PPC,peercoin,,704021,3.87,Peercoin,1531688711,24853345,177,7.5,38939973
2.69051,2125633,6,-3.45,NVC,novacoin,,69930.4,-2.93,Novacoin,1531688711,2125633,528,0.99,5719038
0.0787647,206802680,8,-16.58,FTC,feathercoin,336000000,48208,-0.01,Feathercoin,1531688712,206802680,323,0.42,16288751
0.0166673,4648443,9,18.14,MNC,mincoin,,39.2631,2.69,Mincoin,1531688712,4648443,1265,7.69,77477
0.00759925,31137393,10,32.73,FRC,freicoin,,66.5269,0.13,Freicoin,1531688719,100000000,1156,22.22,236621
0.0715284,21007336,13,-32.04,IXC,ixcoin,,646.484,0.23,Ixcoin,1531688712,21007336,769,-16.45,1502621
8.82139,37976,14,-20.21,BTB,bitbar,,147.299,0.13,BitBar,1531688712,37976,1127,2.22,335004
0.00683294,119606941,16,-8.01,WDC,worldcoin,,113.618,0.13,WorldCoin,1531688712,119606941,1055,0.74,817267
0.0447657,29599373,18,19.1,DGC,digitalcoin,48166000,1455.99,-0.23,Digitalcoin,1531688711,29599373,778,-6.13,1325037
0.0616572,41145768,25,-11.99,GLD,goldcoin,72245700,4582.99,0.16,GoldCoin,1531688713,41145768,689,1.57,2536933
